VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,Airport_fee
2,01-06-2024 00:31,01-06-2024 00:33,1,0.27,1,N,100,48,2,4.4,1,0.5,0,0,1,9.4,2.5,0
2,01-06-2024 00:17,01-06-2024 00:40,1,4.79,1,N,158,141,1,24.7,1,0.5,5.94,0,1,35.64,2.5,0
2,01-06-2024 00:22,01-06-2024 00:27,1,1.17,1,N,43,143,1,8.6,1,0.5,1,0,1,14.6,2.5,0
2,01-06-2024 00:43,01-06-2024 00:54,1,1.62,1,N,68,161,1,12.8,1,0.5,1,0,1,18.8,2.5,0
2,01-06-2024 00:27,01-06-2024 00:41,1,1.96,1,N,107,232,1,14.2,1,0.5,1,0,1,20.2,2.5,0
2,01-06-2024 00:55,01-06-2024 01:06,1,3.76,1,N,148,233,1,17.7,1,0.5,4.54,0,1,27.24,2.5,0
2,01-06-2024 00:26,01-06-2024 00:35,1,1.49,1,N,142,50,1,10,1,0.5,2,0,1,17,2.5,0
2,01-06-2024 00:07,01-06-2024 00:13,2,0.89,1,N,144,231,1,7.9,1,0.5,2.58,0,1,15.48,2.5,0
2,01-06-2024 00:24,01-06-2024 00:37,1,1.44,1,N,144,249,1,12.8,1,0.5,3.56,0,1,21.36,2.5,0
2,01-06-2024 00:43,01-06-2024 00:55,3,1.27,1,N,249,144,1,11.4,1,0.5,3.28,0,1,19.68,2.5,0
2,01-06-2024 00:56,01-06-2024 01:02,2,1.01,1,N,144,231,2,7.9,1,0.5,0,0,1,12.9,2.5,0
2,01-06-2024 00:13,01-06-2024 00:28,3,2.29,1,N,100,79,1,14.9,1,0.5,1.11,0,1,21.01,2.5,0
2,01-06-2024 00:30,01-06-2024 00:48,1,3.07,1,N,114,88,1,18.4,1,0.5,4.68,0,1,28.08,2.5,0
2,01-06-2024 00:17,01-06-2024 00:34,1,3.36,1,N,68,229,1,18.4,1,0.5,4.68,0,1,28.08,2.5,0
1,01-06-2024 00:07,01-06-2024 00:12,1,0.6,1,N,237,263,1,5.8,3.5,0.5,2,0,1,12.8,2.5,0
1,01-06-2024 00:20,01-06-2024 00:26,1,1.6,1,N,237,142,1,9.3,3.5,0.5,3.55,0,1,17.85,2.5,0
2,01-06-2024 00:10,01-06-2024 00:25,1,2.32,1,N,234,148,1,15.6,1,0.5,0,0,1,20.6,2.5,0
2,01-06-2024 00:42,01-06-2024 00:52,1,1.39,1,N,107,246,1,11.4,1,0.5,0,0,1,16.4,2.5,0
2,01-06-2024 00:13,01-06-2024 00:30,1,3.18,1,N,161,263,1,18.4,1,0.5,7.02,0,1,30.42,2.5,0
2,01-06-2024 00:56,01-06-2024 01:00,1,1.09,1,N,68,68,1,7.2,1,0.5,1,0,1,13.2,2.5,0
1,01-06-2024 00:01,01-06-2024 00:28,1,4.4,1,N,144,142,1,26.1,3.5,0.5,6.2,0,1,37.3,2.5,0
1,01-06-2024 00:43,01-06-2024 00:52,1,1.8,1,N,142,161,2,10,3.5,0.5,0,0,1,15,2.5,0
1,01-06-2024 00:16,01-06-2024 00:35,3,5.6,1,N,238,224,1,27.5,3.5,0.5,4,0,1,36.5,2.5,0
2,01-06-2024 00:37,01-06-2024 00:54,1,3.13,1,N,68,43,1,18.4,1,0.5,4.68,0,1,28.08,2.5,0
2,01-06-2024 00:58,01-06-2024 01:04,1,1.45,1,N,142,246,1,9.3,1,0.5,2.86,0,1,17.16,2.5,0
2,01-06-2024 00:49,01-06-2024 01:25,1,3.23,1,N,79,141,1,21.9,1,0.5,5.38,0,1,32.28,2.5,0
1,01-06-2024 00:18,01-06-2024 00:30,1,2.1,1,N,141,75,1,12.1,3.5,0.5,2,0,1,19.1,2.5,0
1,01-06-2024 00:00,01-06-2024 00:10,1,1.6,1,N,234,148,1,10.7,3.5,0.5,3.1,0,1,18.8,2.5,0
2,01-06-2024 00:19,01-06-2024 00:30,3,2.17,1,N,13,158,1,12.8,1,0.5,3.56,0,1,21.36,2.5,0
2,01-06-2024 00:39,01-06-2024 00:46,2,0.74,1,N,249,234,1,7.9,1,0.5,1,0,1,13.9,2.5,0
2,01-06-2024 00:11,01-06-2024 00:23,1,2.74,1,N,148,49,1,14.9,1,0.5,3.98,0,1,23.88,2.5,0
1,01-06-2024 00:06,01-06-2024 00:13,1,1.2,1,N,137,79,1,8.6,3.5,0.5,2.7,0,1,16.3,2.5,0
1,01-06-2024 00:16,01-06-2024 00:47,1,6.1,1,N,79,80,1,33.1,3.5,0.5,9,6.94,1,54.04,2.5,0
2,01-06-2024 00:04,01-06-2024 00:12,1,1.71,1,N,142,246,1,10.7,1,0.5,3.14,0,1,18.84,2.5,0
2,01-06-2024 00:24,01-06-2024 00:27,1,0.45,1,N,249,68,1,5.1,1,0.5,2.02,0,1,12.12,2.5,0
2,01-06-2024 00:35,01-06-2024 00:46,1,1.58,1,N,249,68,1,12.1,1,0.5,1,0,1,18.1,2.5,0
2,01-06-2024 00:57,01-06-2024 01:23,1,5.01,1,N,249,238,1,26.8,1,0.5,6.36,0,1,38.16,2.5,0
2,01-06-2024 00:19,01-06-2024 00:26,1,1.22,1,N,163,162,1,8.6,1,0.5,2.72,0,1,16.32,2.5,0
2,01-06-2024 00:47,01-06-2024 01:01,1,3.44,1,N,162,75,1,17,1,0.5,1,0,1,23,2.5,0
1,01-06-2024 00:26,01-06-2024 00:34,4,1.4,1,N,79,137,1,9.3,3.5,0.5,2.85,0,1,17.15,2.5,0
1,01-06-2024 00:43,01-06-2024 00:50,2,1,1,N,79,107,1,7.9,3.5,0.5,2.55,0,1,15.45,2.5,0
1,01-06-2024 00:52,01-06-2024 01:12,1,5.3,1,N,148,142,1,25.4,3.5,0.5,6,0,1,36.4,2.5,0
2,01-06-2024 00:30,01-06-2024 01:08,1,4.63,1,N,144,255,4,-37.3,-1,-0.5,0,0,-1,-42.3,-2.5,0
2,01-06-2024 00:30,01-06-2024 01:08,1,4.63,1,N,144,255,4,37.3,1,0.5,0,0,1,42.3,2.5,0
2,01-06-2024 00:11,01-06-2024 00:13,2,0.23,1,N,249,158,1,4.4,1,0.5,1.88,0,1,11.28,2.5,0
2,01-06-2024 00:15,01-06-2024 00:22,1,1.17,1,N,249,231,1,8.6,1,0.5,1,0,1,14.6,2.5,0
2,01-06-2024 00:15,01-06-2024 00:41,1,3.74,1,N,50,114,1,24.7,1,0.5,5.94,0,1,35.64,2.5,0
2,01-06-2024 00:43,01-06-2024 00:44,1,0.02,1,N,114,114,2,3.7,1,0.5,0,0,1,8.7,2.5,0
2,01-06-2024 00:18,01-06-2024 00:28,2,2.89,1,N,87,148,1,14.9,1,0.5,3.98,0,1,23.88,2.5,0
2,01-06-2024 00:30,01-06-2024 00:49,1,2.58,1,N,148,255,1,19.1,1,0.5,0,0,1,24.1,2.5,0
2,01-06-2024 00:23,01-06-2024 00:27,1,1.28,1,N,142,239,2,7.2,1,0.5,0,0,1,12.2,2.5,0
2,01-06-2024 00:42,01-06-2024 00:52,2,1.54,1,N,148,125,1,10.7,1,0.5,3.14,0,1,18.84,2.5,0
